name,rating,genres,avg_user_rating,movieId
inception,★★★★,"Action, Adventure, Science Fiction",4.2,79132.0
grown-ups,★★½,Comedy,3.1,79134.0
toy-story-3,★★★½,"Comedy, Animation, Family",4.0,78499.0
the-karate-kid-2010,★★½,"Drama, Action, Family, Adventure",3.0,79224.0
iron-man-2,★★★,"Adventure, Science Fiction, Action",2.9,77561.0
shutter-island,★★★★,"Mystery, Drama, Thriller",4.1,74458.0
sherlock-holmes-2009,★★★½,"Action, Mystery, Adventure, Crime",3.5,73017.0
avatar,★★★½,"Fantasy, Science Fiction, Adventure, Action",3.6,72998.0
2012,★★,"Adventure, Action, Science Fiction",2.5,72378.0
a-serious-man,★★★½,"Comedy, Drama",3.9,71464.0
jennifers-body,★★★,"Horror, Comedy",3.4,71205.0
district-9,★★★½,Science Fiction,3.8,70286.0
harry-potter-and-the-half-blood-prince,★★★½,"Adventure, Fantasy",3.7,69844.0
ice-age-dawn-of-the-dinosaurs,★★★,"Comedy, Adventure, Family, Animation",3.2,69644.0
transformers-revenge-of-the-fallen,★★½,"Action, Adventure, Science Fiction",2.5,69526.0
the-hangover,★★★,Comedy,3.7,69122.0
inglourious-basterds,★★★★,"Drama, Thriller, War",4.3,68157.0
up,★★★★,"Animation, Adventure, Family, Comedy",4.1,68954.0
x-men-origins-wolverine,★★,"Science Fiction, Adventure, Action",2.5,68319.0
yes-man,★★★,"Comedy, Romance",3.1,64969.0
twilight-2008,½,"Romance, Drama, Fantasy",3.0,63992.0
tropic-thunder,★★★½,"War, Adventure, Comedy, Action",3.6,61132.0
pineapple-express,★★★,"Comedy, Crime, Action",3.3,61024.0
the-dark-knight,★★★★★,"Action, Drama, Thriller, Crime",4.5,58559.0
hancock,★★★,"Action, Fantasy",2.8,60074.0
mamma-mia,★★★½,"Comedy, Romance",3.8,60397.0
walle,★★★★½,"Animation, Science Fiction, Family",4.2,60069.0
the-incredible-hulk,No Rating,"Science Fiction, Action, Adventure",2.5,60040.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,★★½,"Action, Adventure",2.7,59615.0
the-boy-in-the-striped-pyjamas,★★★,"War, History, Drama",3.6,64034.0
radiohead-in-rainbows-from-the-basement,★★★★★,"Documentary, Music",4.7,
iron-man-2008,★★★★,"Adventure, Science Fiction, Action",3.7,59315.0
taken,★★★½,"Thriller, Action",3.5,59369.0
let-the-right-one-in,★★★★,"Horror, Drama",4.0,61240.0
rambo,★★★,"Action, War, Thriller",3.1,57528.0
dear-zachary-a-letter-to-a-son-about-his-father,★★★★½,"Documentary, Crime",4.4,65188.0
the-bucket-list,★★★,"Drama, Comedy",3.3,56587.0
i-am-legend,★★★½,"Thriller, Drama, Science Fiction",3.4,56174.0
hot-rod,★★★½,"Action, Comedy",3.5,54256.0
the-bourne-ultimatum,★★★½,"Action, Mystery, Drama, Thriller",3.7,54286.0
the-simpsons-movie,★★★,"Family, Comedy, Animation",3.5,54272.0
earth,★★★★,Documentary,3.8,68522.0
harry-potter-and-the-order-of-the-phoenix,★★★½,"Adventure, Fantasy",3.7,54001.0
transformers,★★½,"Action, Science Fiction, Adventure",3.2,53996.0
evan-almighty,★★½,"Comedy, Family, Fantasy",2.4,53993.0
pirates-of-the-caribbean-at-worlds-end,★★★½,"Action, Adventure, Fantasy",3.5,53125.0
no-country-for-old-men,★★★★★,"Crime, Thriller, Drama",4.3,55820.0
spider-man-3,★★★,"Science Fiction, Adventure, Action",3.1,52722.0
superbad,★★★½,Comedy,3.9,54503.0
zodiac,★★★★,"Drama, Crime, Thriller, Mystery",4.0,51540.0
hot-fuzz,★★★,"Action, Crime, Comedy",4.1,51255.0
night-at-the-museum,★★★,"Fantasy, Family, Comedy, Adventure, Action",3.3,46972.0
